,ymd,stock_code,pb
604,2026-01-05,002124,1.75
605,2026-01-05,002125,2.28
606,2026-01-05,002126,3.29
607,2026-01-05,002127,2.66
608,2026-01-05,002128,1.22
609,2026-01-05,002129,1.05
610,2026-01-05,002130,5.56
611,2026-01-05,002131,2.3
612,2026-01-05,002132,1.09
613,2026-01-05,002133,0.52
614,2026-01-05,002134,9.77
615,2026-01-05,002135,0.8
616,2026-01-05,002136,1.75
617,2026-01-05,002137,3.24
618,2026-01-05,002138,4.21
619,2026-01-05,002139,2.79
620,2026-01-05,002140,1.52
621,2026-01-05,002141,1.71
622,2026-01-05,002142,0.81
623,2026-01-05,002144,0.89
624,2026-01-05,002145,1.42
625,2026-01-05,002146,0.31
626,2026-01-05,002148,3.36
627,2026-01-05,002149,2.94
628,2026-01-05,002150,2.6
629,2026-01-05,002151,2.6
630,2026-01-05,002152,2.58
631,2026-01-05,002153,3.36
632,2026-01-05,002154,1.46
633,2026-01-05,002155,3.22
634,2026-01-05,002156,3.24
635,2026-01-05,002157,2.32
636,2026-01-05,002158,2.45
637,2026-01-05,002159,1.84
638,2026-01-05,002160,1.08
639,2026-01-05,002161,2.81
640,2026-01-05,002162,3.63
641,2026-01-05,002163,6.19
642,2026-01-05,002164,2.23
643,2026-01-05,002165,1.67
644,2026-01-05,002166,1.89
645,2026-01-05,002167,4.33
646,2026-01-05,002169,1.67
647,2026-01-05,002170,2.96
648,2026-01-05,002171,1.7
649,2026-01-05,002172,19.88
650,2026-01-05,002173,2.46
651,2026-01-05,002174,2.13
652,2026-01-05,002175,11.5
653,2026-01-05,002176,3.35
654,2026-01-05,002177,2.29
655,2026-01-05,002178,11.05
656,2026-01-05,002179,3.32
657,2026-01-05,002180,3.74
658,2026-01-05,002181,1.8
659,2026-01-05,002182,2.24
660,2026-01-05,002183,1.37
661,2026-01-05,002184,3.9
662,2026-01-05,002185,2.26
663,2026-01-05,002186,3.77
664,2026-01-05,002187,1.26
665,2026-01-05,002188,9.76
666,2026-01-05,002189,4.93
667,2026-01-05,002190,2.19
668,2026-01-05,002191,0.96
669,2026-01-05,002192,2.54
670,2026-01-05,002193,1.34
671,2026-01-05,002194,3.25
672,2026-01-05,002195,2.83
673,2026-01-05,002196,2.03
674,2026-01-05,002197,1.13
675,2026-01-05,002198,4.8
676,2026-01-05,002201,3.14
677,2026-01-05,002202,1.05
678,2026-01-05,002203,1.46
679,2026-01-05,002204,1.3
680,2026-01-05,002205,3.01
681,2026-01-05,002206,1.31
682,2026-01-05,002207,20.04
683,2026-01-05,002208,0.96
684,2026-01-05,002209,3
685,2026-01-05,002210,18.32
686,2026-01-05,002212,1.2
687,2026-01-05,002213,6.99
688,2026-01-05,002215,2.55
689,2026-01-05,002216,2.33
690,2026-01-05,002217,-0.89
691,2026-01-05,002218,1.16
692,2026-01-05,002219,3.93
693,2026-01-05,002221,1.39
694,2026-01-05,002222,10.34
695,2026-01-05,002223,2.99
696,2026-01-05,002224,1.2
697,2026-01-05,002225,1.63
698,2026-01-05,002226,1.58
699,2026-01-05,002227,2.67
700,2026-01-05,002228,1.16
701,2026-01-05,002229,4.44
702,2026-01-05,002230,7.65
703,2026-01-05,002232,6.48
704,2026-01-05,002233,0.76
705,2026-01-05,002234,1.43
706,2026-01-05,002235,4.6
707,2026-01-05,002236,1.59
708,2026-01-05,002237,1.37
709,2026-01-05,002238,3.29
710,2026-01-05,002239,1.9
711,2026-01-05,002240,1.04
712,2026-01-05,002241,2.96
713,2026-01-05,002242,2.23
714,2026-01-05,002243,1.53
715,2026-01-05,002244,1.14
716,2026-01-05,002245,2.15
717,2026-01-05,002246,1.9
718,2026-01-05,002247,3.74
719,2026-01-05,002248,35.82
720,2026-01-05,002249,1.55
721,2026-01-05,002250,0.99
722,2026-01-05,002251,1.26
723,2026-01-05,002252,1.5
724,2026-01-05,002254,1.26
725,2026-01-05,002255,1.26
726,2026-01-05,002256,4.06
727,2026-01-05,002258,0.89
728,2026-01-05,002259,8.23
729,2026-01-05,002261,16.08
730,2026-01-05,002262,3.17
731,2026-01-05,002263,1.7
732,2026-01-05,002264,2.76
733,2026-01-05,002265,7.38
734,2026-01-05,002266,1.47
735,2026-01-05,002267,1.25
736,2026-01-05,002268,2.97
737,2026-01-05,002269,10.77
738,2026-01-05,002270,4.65
739,2026-01-05,002271,1.17
740,2026-01-05,002272,2.98
741,2026-01-05,002273,3.55
742,2026-01-05,002274,1.32
743,2026-01-05,002275,2.7
744,2026-01-05,002276,1.55
745,2026-01-05,002277,1.03
746,2026-01-05,002278,1.79
747,2026-01-05,002279,5.03
748,2026-01-05,002281,4.5
749,2026-01-05,002282,1.29
750,2026-01-05,002283,1.04
751,2026-01-05,002284,2.37
752,2026-01-05,002285,1.66
753,2026-01-05,002286,1.33
754,2026-01-05,002287,3.03
755,2026-01-05,002290,5.59
756,2026-01-05,002291,1.67
757,2026-01-05,002292,4.36
758,2026-01-05,002293,1.58
759,2026-01-05,002294,3.77
760,2026-01-05,002295,1.35
761,2026-01-05,002296,1.96
762,2026-01-05,002297,1.75
763,2026-01-05,002298,1.28
764,2026-01-05,002299,1.75
765,2026-01-05,002300,2.02
766,2026-01-05,002301,1.84
767,2026-01-05,002302,0.88
768,2026-01-05,002303,1.11
769,2026-01-05,002304,2.21
770,2026-01-05,002307,1.48
771,2026-01-05,002309,-2.04
772,2026-01-05,002310,-1.87
773,2026-01-05,002311,3.44
774,2026-01-05,002312,2.79
775,2026-01-05,002313,40.3
776,2026-01-05,002314,0.63
777,2026-01-05,002315,6.38
778,2026-01-05,002316,19.12
779,2026-01-05,002317,2.18
780,2026-01-05,002318,3.03
781,2026-01-05,002319,37.04
