排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
303,互联医疗,BK0837,1165.33,-1.78,-0.15,4824345856000,1.9,53,42,益丰药房,4.96
304,宠物经济,BK0993,1012.95,-1.65,-0.16,430954176000,1.82,37,28,普洛药业,4.17
305,转基因,BK0907,1669.28,-2.72,-0.16,163708784000,6.21,8,8,农发种业,4.04
306,人形机器人,BK1184,1890.3,-3.09,-0.16,5623353344000,2.39,94,134,凯龙高科,20.0
307,首发经济,BK1186,1244.12,-2.06,-0.17,411463376000,4.9,18,20,美锦能源,10.0
308,裸眼3D,BK1142,1347.72,-2.25,-0.17,343642672000,2.38,10,13,利亚德,2.25
309,职业教育,BK1022,1523.52,-2.63,-0.17,694457728000,4.35,31,36,众业达,10.03
310,国家安防,BK0667,3705.29,-7.75,-0.21,1878219328000,2.6,44,69,昇辉科技,19.95
311,抖音小店,BK0928,1441.91,-3.04,-0.21,265046483000,2.12,21,7,维维股份,3.5
312,无线充电,BK0960,3500.95,-7.74,-0.22,2155454400000,3.18,19,21,天通股份,10.0
313,基金重仓,BK0536,14198.46,-31.45,-0.22,8884972800000,2.38,33,34,博迁新材,10.0
314,环氧丙烷,BK1011,745.38,-1.74,-0.23,653567984000,2.5,12,10,红 宝 丽,3.07
315,PLC概念,BK1119,1676.84,-3.97,-0.24,412192992000,2.69,3,7,英威腾,10.05
316,智能电视,BK0656,1425.56,-3.52,-0.25,317959008000,2.83,4,7,天禄科技,5.01
317,数字孪生,BK0861,1801.28,-4.59,-0.25,1096120240000,2.75,25,58,兴民智通,10.03
318,智慧城市,BK0628,6301.79,-16.33,-0.26,2809971120000,2.92,81,136,特发信息,10.01
319,光通信模块,BK1136,2799.16,-7.28,-0.26,3021191408000,6.15,26,43,杭电股份,9.97
320,商业航天,BK0963,2840.41,-7.46,-0.26,6288832768000,4.79,122,163,巨力索具,9.99
321,超导概念,BK0679,7324.62,-19.72,-0.27,454794144000,5.13,10,8,东方钽业,3.91
322,电子车牌,BK0982,1568.5,-4.42,-0.28,170708624000,3.24,9,9,浩云科技,2.15
323,光刻机(胶),BK0884,4178.74,-12.07,-0.29,1736135888000,4.1,33,61,双乐股份,7.38
324,跨境支付,BK1071,1840.79,-5.44,-0.29,12650159616000,0.33,33,29,凯撒旅业,3.69
325,第三代半导体,BK0952,2178.07,-6.67,-0.31,2697935248000,6.35,44,64,双良节能,10.0
326,创业成份,BK0638,2493.91,-7.71,-0.31,9135219200000,3.91,51,48,晶盛机电,12.97
327,华为概念,BK0854,4504.59,-14.45,-0.32,17427665408000,3.47,314,427,特发信息,10.01
328,车联网(车路云),BK0920,1709.92,-5.49,-0.32,6294108928000,2.37,93,122,锐明技术,10.01
329,苹果概念,BK0666,4761.52,-15.98,-0.33,4414182656000,2.78,52,73,TCL中环,9.99
330,工业母机,BK1004,2219.27,-7.54,-0.34,1699517008000,1.84,34,49,宇晶股份,5.05
331,荣耀概念,BK1177,2124.35,-7.4,-0.35,1234022912000,2.36,24,29,水晶光电,7.99
332,AI眼镜,BK1178,2297.85,-8.19,-0.36,3412625392000,3.03,40,77,晶盛机电,12.97
333,PEEK材料概念,BK1156,1958.86,-7.01,-0.36,815951248000,3.91,18,25,中国巨石,5.99
334,ETC,BK0875,2048.1,-7.58,-0.37,433249376000,2.48,19,21,星帅尔,3.82
335,机器视觉,BK0998,2092.22,-8.32,-0.4,912475584000,3.43,29,54,胜利精密,7.33
336,彩票概念,BK0671,3143.22,-12.8,-0.41,218330535000,2.39,11,9,冠豪高新,2.33
337,北斗导航,BK0629,8292.38,-34.72,-0.42,1389244304000,4.08,34,38,全信股份,6.69
338,小米概念,BK0833,2475.65,-10.38,-0.42,4295149056000,3.45,98,127,银轮股份,10.01
339,电子身份证,BK1075,1357.88,-5.74,-0.42,386292704000,2.5,16,23,格尔软件,5.73
340,氟化工,BK0690,5597.75,-23.75,-0.42,1055520112000,2.3,14,21,东阳光,1.2
341,增强现实,BK0801,1558.75,-6.62,-0.42,913421440000,3.13,19,26,水晶光电,7.99
342,全息技术,BK0699,3191.3,-13.7,-0.43,231704920000,2.04,5,6,中光学,2.77
343,数字货币,BK0883,2173.45,-9.72,-0.45,1200882592000,2.19,32,49,绿地控股,3.7
344,2025三季报扭亏,BK1628,1000.6,-4.55,-0.45,137788093000,1.79,4,7,山东钢铁,3.13
345,PCB,BK0877,3012.61,-13.73,-0.45,3026409904000,4.4,39,89,天通股份,10.0
346,富士康,BK0842,2791.63,-12.73,-0.45,978633280000,2.82,18,21,安彩高科,3.75
347,物联网,BK0554,18421.46,-84.93,-0.46,10251024384000,3.09,137,236,双良节能,10.0
348,被动元件,BK0976,1852.36,-9.09,-0.49,578486944000,4.49,12,15,三环集团,7.01
349,移动支付,BK0556,14391.02,-70.78,-0.49,3146187248000,2.1,26,40,格尔软件,5.73
350,超清视频,BK0859,2308.99,-11.49,-0.5,2844299568000,2.87,40,57,天通股份,10.0
351,星闪概念,BK1149,1529.75,-7.84,-0.51,604635312000,3.13,13,24,锐明技术,10.01
352,机器人执行器,BK1145,2162.75,-11.09,-0.51,821153600000,2.5,14,20,华伍股份,3.2
353,虚拟现实,BK0722,1395.24,-7.2,-0.51,4259022912000,3.16,84,129,翰博高新,11.29
354,人脑工程,BK0706,6366.07,-33.55,-0.52,1060658208000,3.96,24,25,北陆药业,3.19
355,5G概念,BK0714,1919.94,-10.28,-0.53,11888414976000,3.43,126,194,特发信息,10.01
356,时空大数据,BK1130,1790.35,-9.74,-0.54,396399216000,5.59,8,18,兴民智通,10.03
357,智能穿戴,BK0641,4031.59,-22.98,-0.57,3618092032000,3.05,45,79,水晶光电,7.99
358,新型工业化,BK1150,1610.01,-9.33,-0.58,2565995904000,2.64,38,59,京城股份,9.97
359,虚拟机器人,BK1190,1395.94,-8.18,-0.58,730535328000,3.07,9,7,风华高科,3.6
360,生物识别,BK0970,1878.77,-11.65,-0.62,1182136336000,2.75,15,34,水晶光电,7.99
